Tweet,Person
"We're filing our last pre-election FEC report tomorrow, and here's a preview.",Obama
Obama: “I don’t think any male politician should be making health care decisions for women.”,Obama
"Of the 1.2 million people who donated, 207,264 people hadn't supported this campaign before.",Obama
RT if you agree: Mitt Romney’s severely conservative views are a disaster for women that we can’t afford in the White House.,Obama
"If you're on the Eastern seaboard, please make sure to follow the instructions of your state and local officials today. Stay safe. -bo",Obama
"""Whatever the symptoms are, don't worry—Obamacare covers pre-existing conditions.""—President Obama on Romnesia",Obama
"Shae, FL: “Why am I voting for President Obama? Simple. I believe in him, and that's coming from an ARMY VET!”",Obama
Obama on Romney: “He’s hoping that you come down with a case of what we call…” Crowd: “Romnesia!”,Obama
RT if you agree: We can’t afford Romney's plan to bring back the failed policies that crashed our economy. We need to keep moving forward.,Obama
FACT: Romney’s running mate Paul Ryan referred to rape as a “method of conception” and co-sponsored a bill to redefine rape with Todd Akin.,Obama
"""We don't look backwards, we look forward."" —President Obama",Obama
Obama: “I wasn't going to let Detroit go bankrupt. Or Toledo go bankrupt. Or Lordstown go bankrupt. I bet on American workers.”,Obama
"""We all have a place in America if you're willing to work hard, if you're willing to stand up.""—President Obama",Obama
"In the first 17 days of October, 1,251,291 people came together to raise $90,500,000 for the campaign and combined committees.",Obama
"Since the beginning of this campaign in April 2011, a total of 4,200,000 people have pitched in to own a piece of it.",Obama
"Sam F., VA: “Because President Obama’s health care reform directly impacted my Type I diabetic brother's health.”",Obama
"Every five bucks helped: More than 98% of contributions were $250 or less, with an average contribution of $46.92.",Obama
"""Our destiny is not written for us, it's written by us. And we can write that next chapter together."" —President Obama",Obama
"Obama: ""We just made a quick stop in Chicago so I could vote."" #GottaVote",Obama
"""In the closing moments of the election, Gov. Romney's hoping you too will come down with a severe case of Romnesia."" —President Obama",Obama
Romney’s endorsement of Mourdock is just the latest example of the severely conservative candidates he supports.,Obama
"“President Obama and the Democratic Party have an agenda that is progressive and pro-growth.”—Raymond, CT",Obama
"Obama: ""You can declare you want America to remain a country where no matter who you are or what you look like, you can make it if you try.""",Obama
“We can’t go back to what got us into this mess. We need to move forward with what’s getting us out of this mess.”—President Obama,Obama
FACT: President Obama’s plan will help create 1 million new manufacturing jobs and double our exports. #MadeInAmerica,Obama
"President Obama: “Last night, Gov. Romney looked you right in the eye and tried to pretend that he never said ‘let Detroit go bankrupt.’”",Obama
“The greatest responsibility I have as President is to keep the American people safe. That’s why I ended the war in Iraq.”—President Obama,Obama
"President Obama: ""Iran is at its weakest point economically, strategically, militarily than in many years."" #StrongerWithObama",Obama
"President Obama: ""We've come up with a name for this condition. It’s called #Romnesia.""",Obama
